Id;name;folder;dist_mm;area_mm;golden_ratio;sagging;tilt;out_angle;in_angle;elongation
510;E:\Data\CT2020\Portraits\Chine\S222 CH - 444.JPG;Chine;45.2753601;151.453125;1.811280623;1.055038218;0.146025929;0.849812314;0.753952184;0.305979883
511;E:\Data\CT2020\Portraits\Chine\S223 CH - 446.JPG;Chine;46.60582311;126.039375;1.794953283;1.117080701;0.163343365;0.733963762;0.730073831;0.254057718
512;E:\Data\CT2020\Portraits\Chine\S224 CH - 448.JPG;Chine;46.67608947;133.97625;1.792614781;1.060220288;0.143784244;0.804634477;0.709579238;0.260339327
513;E:\Data\CT2020\Portraits\Chine\S225 CH - 449.JPG;Chine;42.99937029;122.25375;1.772556812;1.12461127;0.146800338;0.743897546;0.69145292;0.249267629
514;E:\Data\CT2020\Portraits\Chine\S226 CH - 452.JPG;Chine;46.78925168;164.30625;1.801656599;1.058937036;0.189046697;0.955331499;0.781582083;0.304859411
515;E:\Data\CT2020\Portraits\Chine\S227 CH - 453.JPG;Chine;44.09688407;118.423125;1.814294414;1.069787;0.167786584;0.87102451;0.785311656;0.286018202
516;E:\Data\CT2020\Portraits\Chine\S228 CH - 456.JPG;Chine;44.18766321;220.17375;1.818939625;0.938949852;0.1504136;1.064328478;0.858787865;0.341062144
517;E:\Data\CT2020\Portraits\Chine\S229 CH - 457.JPG;Chine;45.85337247;119.548125;1.818889138;1.008970392;0.137140563;0.730441546;0.709579642;0.255418222
518;E:\Data\CT2020\Portraits\Chine\S230 CH - 459.JPG;Chine;43.74308195;142.138125;1.7869862;1.087984133;0.1729761;0.847362849;0.765672191;0.286942494
519;E:\Data\CT2020\Portraits\Chine\S231 CH - 462.JPG;Chine;44.14452973;83.233125;1.812519321;1.128925653;0.114279948;0.607508915;0.530544991;0.201762905
520;E:\Data\CT2020\Portraits\Chine\S232 CH - 463.JPG;Chine;43.68260363;98.881875;1.782693927;1.095340378;0.136532339;0.686760162;0.663789139;0.242412358
521;E:\Data\CT2020\Portraits\Chine\S233 CH - 465.JPG;Chine;48.79522685;179.836875;1.822909053;1.023378145;0.152924509;0.926010943;0.774972728;0.304731355
522;E:\Data\CT2020\Portraits\Chine\S234 CH - 467.JPG;Chine;53.25187135;199.276875;1.779940502;1.005940156;0.176588016;0.929050586;0.822873336;0.315037662
523;E:\Data\CT2020\Portraits\Chine\S235 CH - 469.JPG;Chine;47.32579022;156.976875;1.798788674;1.070591236;0.183055765;1.009718434;0.87684772;0.326311338
524;E:\Data\CT2020\Portraits\Chine\S236 CH - 472.JPG;Chine;41.82859755;141.26625;1.801751918;1.06203031;0.119586952;0.973982008;0.842771074;0.32011871
525;E:\Data\CT2020\Portraits\Chine\S237 CH - 473.JPG;Chine;45.11060186;133.070625;1.786047141;1.030313665;0.174201889;0.806054914;0.751011434;0.268243874
526;E:\Data\CT2020\Portraits\Chine\S238 CH - 475.JPG;Chine;47.98248031;208.186875;1.805598948;1.009556624;0.139861636;0.986472051;0.889419725;0.325815619
527;E:\Data\CT2020\Portraits\Chine\S239 CH - 478.JPG;Chine;49.77312207;142.948125;1.803533547;1.045162344;0.144518519;0.772531739;0.674614591;0.259719267
528;E:\Data\CT2020\Portraits\Chine\S240 CH - 480.JPG;Chine;49.5657109;210.009375;1.794441369;1.03296285;0.169259705;0.958816415;0.814736381;0.306160676
529;E:\Data\CT2020\Portraits\Chine\S241 CH - 482.JPG;Chine;48.99696242;206.184375;1.783625565;0.967650053;0.150946738;0.941794636;0.83924281;0.314840872
530;E:\Data\CT2020\Portraits\Chine\S242 CH - 483.JPG;Chine;48.74321441;168.075;1.78617382;1.074949332;0.18150888;0.958296087;0.781518401;0.304175999
531;E:\Data\CT2020\Portraits\Chine\S243 CH - 485.JPG;Chine;49.78412554;177.541875;1.810075991;1.03182812;0.172833102;0.867531096;0.771035043;0.294612422
532;E:\Data\CT2020\Portraits\Chine\S244 CH - 487.JPG;Chine;43.22346683;171.320625;1.78918865;0.998213544;0.171335382;0.972173099;0.780187749;0.31017587
533;E:\Data\CT2020\Portraits\Chine\S245 CH - 489.JPG;Chine;43.6261095;172.76625;1.806738971;0.97539692;0.203562647;0.997157572;0.882880708;0.331871643
534;E:\Data\CT2020\Portraits\Chine\S246 CH - 492.JPG;Chine;43.50133249;143.24625;1.807977724;1.034629472;0.150400653;1.015417505;0.874366235;0.332848812
535;E:\Data\CT2020\Portraits\Chine\S247 CH - 494.JPG;Chine;44.59524789;174.8925;1.791178882;1.012961476;0.144279398;0.888711903;0.727793193;0.289679059
